,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,explicit,name,playlist,popularity,position,preview_url,combined_name,lyrics
7bDIxtZAb4T4628gPgKojf,3.13e-05,https://api.spotify.com/v1/audio-analysis/7bDIxtZAb4T4628gPgKojf,0.163,350644,0.979,7bDIxtZAb4T4628gPgKojf,0.0125,4,0.0607,-3.584,0,0.0656,178.846,4,https://api.spotify.com/v1/tracks/7bDIxtZAb4T4628gPgKojf,audio_features,spotify:track:7bDIxtZAb4T4628gPgKojf,0.373,Metallica,False,Moth Into Flame,Top Tracks in Metal,3,1,,Metallica Moth Into Flame,"[Verse 1]
Blacked out
Pop queen, amphetamine
The screams crashed into silence
Tapped out
Doused in the gasoline
The high times going timeless

[Verse 2]
Decadence
Death of the innocence
The pathway starts to spiral
Infamy
All for publicity
Destruction going viral

[Pre-Chorus]
Light it up
Ah, light it up
Another hit erases all the pain
Bulletproof
Ah, kill the truth
You’re falling, but you think you’re flying high
High again

[Chorus]
Sold your soul
Built a higher wall
Yesterday
Now you’re thrown away
Same rise and fall
Who cares at all?
Seduced by fame
A moth into the flame

[Verse 3]
Twisted
Backstabbing wicked
The delusion absolution
Perjurer
Fame is the murderer
Seduce you into ruin

[Pre-Chorus]
Light it up
Ah, light it up
Another hit erases all the pain
Bulletproof
Ah, tell the truth
You’re falling, but you think you’re flying high
High again

[Chorus]
Sold your soul
Built a higher wall
Yesterday
Now you’re thrown away
Same rise and fall
Who cares at all?
Seduced by fame
A moth into the flame

[Bridge]
Burn!

Guarantee your name, you go and kill yourself
The vultures feast around you still
Overdose on shame and insecurity
If one won’t do that fistful will

[Verse 4]
Death scene
Black hearse the limousine
A grave filled with seduction
Vaccine
Fame does the murdering
She builds up for destruction

[Pre-Chorus]
So light it up
Ah, light it up
Another hit erases all the pain
Bulletproof
Ah, no excuse
You’re falling, but you think you’re flying high
High again

[Chorus]
Sold your soul
Built a higher wall
Yesterday
Now you’re thrown away
Same rise and fall
Who cares at all?
Seduced by fame
A moth into the flame

[Outro]
Addicted to the fame"
60fUDmIWuKhngaeBIVhqIV,9.59e-05,https://api.spotify.com/v1/audio-analysis/60fUDmIWuKhngaeBIVhqIV,0.513,269533,0.88,60fUDmIWuKhngaeBIVhqIV,0.00614,7,0.0824,-4.69,0,0.0309,92.358,4,https://api.spotify.com/v1/tracks/60fUDmIWuKhngaeBIVhqIV,audio_features,spotify:track:60fUDmIWuKhngaeBIVhqIV,0.495,Gojira,False,Stranded,Top Tracks in Metal,62,2,https://p.scdn.co/mp3-preview/5ba91e5bf19ae040a43c1d3187a44c6f403e0030?cid=774b29d4f13844c495f206cafdad9c86,Gojira Stranded,"[Verse 1]
A growing sickness in the heart
Defective, lack of control
The cure is somewhere in the silence
But I'm crushed by the noise inside

[Chorus]
Don't lock the door on me
You'd kill me, face down, dead
Another part of me falls for you

[Verse 2]
Another day in the dark
No, no
Stranded in the night
Stranded in the cold

[Chorus]
Don't lock the door on me
You'd kill me, face down, dead
Another part of you gone to waste
Please hear me out
You kill me, face down, dead
Another day in the dark

[Chorus]
Don't lock the door on me
You'd kill me, face down, dead
Another part of you gone to waste
Please hear me out
You kill me, face down, dead
Another day in the dark

[Outro]
Leave the moment alone
Leave the moment alone
Leave the moment alone
Leave the moment alone"
5gNyrx8elXaXXs3vFC1ufZ,6.85e-05,https://api.spotify.com/v1/audio-analysis/5gNyrx8elXaXXs3vFC1ufZ,0.46,263787,0.876,5gNyrx8elXaXXs3vFC1ufZ,0.798,5,0.151,-5.39,1,0.045,164.992,3,https://api.spotify.com/v1/tracks/5gNyrx8elXaXXs3vFC1ufZ,audio_features,spotify:track:5gNyrx8elXaXXs3vFC1ufZ,0.499,Amon Amarth,False,Raise Your Horns,Top Tracks in Metal,56,3,,Amon Amarth Raise Your Horns,"Victory, we fought hard and prevailed
Brutally, we were fighting
Stormy seas, rolling thunder, piercing hail
Battlefield, lit by lightning
Eagerly, we filled the waves with enemies
Hungrily, ravens cawing
Home shore calls, we return on bloody seas
Twilight falls, darkness crawling

So pour the beer for thirsty men
A drink that they have earned
And pour a beer for those who fell
For those who did not return

Raise your horns, raise them up to the sky
We will drink to glory tonight
Raise your horns for brave fallen friends
We will meet where the beer never ends

No regrets, we went out to war and strife
To protect, king and country
Victory, honour those who gave their life
Willingly, we will not grieve

So pour the beer for thirsty men
A drink that they have earned
And pour a beer for those who fell
For those who did not return

Raise your horns, raise them up to the sky
We will drink to glory tonight
Raise your horns for brave fallen friends
We will meet where the beer never ends

Raise your horns, raise them up to the sky
We will drink to glory tonight
Raise your horns, raise them up to the sky
We will drink tonight

Raise your horns, raise them up to the sky
We will drink to glory tonight
Raise your horns for brave fallen friends
We will meet in Valhalla again"
1VFAfW8EjuHqejIcIzO1eH,2.57e-06,https://api.spotify.com/v1/audio-analysis/1VFAfW8EjuHqejIcIzO1eH,0.362,245000,0.975,1VFAfW8EjuHqejIcIzO1eH,0.294,8,0.478,-5.18,1,0.0806,141.946,4,https://api.spotify.com/v1/tracks/1VFAfW8EjuHqejIcIzO1eH,audio_features,spotify:track:1VFAfW8EjuHqejIcIzO1eH,0.358,Mastodon,False,Andromeda,Top Tracks in Metal,0,4,,Mastodon Andromeda,"[Troy Sanders:]
It never ends
The game isn't done
I feel the crawling and haunting
Upon us until you listen

It never ends
Enough is enough
Taking your essence and use it
To strengthen their own flesh and blood

[Brann Dailor, Troy Sanders:]
Time watching as the sand flows through glass
Light calls to me from future and from past

This kills me to know
We cannot learn

[Troy Sanders:]
It never ends
The ink isn't dry
The Great Consolation has written a second lease on your life
The Great Consolation has granted a second lease on your life

[Brann Dailor, Troy Sanders:]
Light watching as the sand flows through glass
Time calls to me from future and from past

This kills me to know
We cannot learn

Time watching as the sand flows through glass
(Time is moving as sand's flowing)
Light calls to me from future and from past
(Light is blinding, radiating)

[Troy Sanders:]
It never ends, it never ends, it never ends

[Kevin Sharp:]
Chronic illusions confusing conclusions
Foster the culture, predict the deception
Chronic delusions with caustic solutions"
4HlVUapocBDBqkPtET2knz,0.000159,https://api.spotify.com/v1/audio-analysis/4HlVUapocBDBqkPtET2knz,0.413,259960,0.969,4HlVUapocBDBqkPtET2knz,0.344,11,0.18,-4.91,0,0.0822,75.026,4,https://api.spotify.com/v1/tracks/4HlVUapocBDBqkPtET2knz,audio_features,spotify:track:4HlVUapocBDBqkPtET2knz,0.179,Dark Tranquillity,False,Atoma,Top Tracks in Metal,51,5,https://p.scdn.co/mp3-preview/5b0b5bd9ecf727d5098bca3edeb060bc91948ecd?cid=774b29d4f13844c495f206cafdad9c86,Dark Tranquillity Atoma,"[Verse 1]
I will not play along, the things I find unfair
I will not mount defenses against unjust attacks
This land was never given we built this on our own
Insanity dependent whether we rise or fall

[Pre-Chorus]
Whether we rise or we fall
One for the night
One for the uncontrolled

[Chorus]
Hold your feet to the ground
To the end of our time
For the rest of our lives

Hold your head up high
To the end of our time
For the rest of our lives

[Verse 2]
Secretively I hope if nothing ever comes of this
And you are not alone and wanted to come back
To a place where it won't matter just what side you're on
It's where our lives are blended what's underneath will overcome

[Pre-Chorus]
What's underneath will overcome
One for the night
One for the uncontrolled

[Chorus]
Hold your feet to the ground
To the end of our time
For the rest of our lives

Hold your head up high
To the end of our time
For the rest of our lives

[Pre-Chorus]
Now it's time to stand up tall
One for the night
One for the uncontrolled

[Chorus]
Hold your feet to the ground
To the end of our time
For the rest of our lives

Hold your head up high
To the end of our time
For the rest of our lives"
0vp3Oywt5rCVPXv7bY1X54,2.05e-05,https://api.spotify.com/v1/audio-analysis/0vp3Oywt5rCVPXv7bY1X54,0.535,203500,0.974,0vp3Oywt5rCVPXv7bY1X54,0.000149,10,0.263,-3.566,0,0.172,116.956,4,https://api.spotify.com/v1/tracks/0vp3Oywt5rCVPXv7bY1X54,audio_features,spotify:track:0vp3Oywt5rCVPXv7bY1X54,0.436,Emmure,False,Flag Of The Beast,Top Tracks in Metal,46,6,https://p.scdn.co/mp3-preview/d83f6b884433ae95e2a5f1f2cba27031fa4f4896?cid=774b29d4f13844c495f206cafdad9c86,Emmure Flag Of The Beast,"What more could I possibly say?
I've gone above and beyond of what you thought I'd be
There's no surprise to me you just can't relate
The depths I've fallen, you would never been able to take

But if you think you can then step up to plate

First you see it, then you don't believe it
Then you're gonna be there to question ""Why?""
Why am I the one who has to suffer and be crucified?
Some will call it fate, or call it karma, or simply call it fucked
Say you're getting older, moving forward, to me you're giving up

I am your fucking savior
I am the fucking antichrist

Do you think you could handle the nightmare
Of being alive when no one cares?
But if you think you can, then step up to plate

First you see it, then you don't believe it
Then you're gonna be there to question ""Why?""
Why am I the one who has to suffer and be crucified?
Some will call it fate, or call it karma, or simply call it fucked
Say you're getting older, moving forward, to me you're giving up

The critics and comments, the press and the nonsense
The fans who feel cheated, and venues I damaged
The people who left me, and those who I banished
Fuck it, I'm done. I've got one thing to say...
Hate me if it makes you feel better

Go!

I am your fucking savior
I am the fucking antichrist
I am the one and only answer
I am the fucking antichrist

Hate me if it makes you feel better
You can hate me if it makes you feel better"
5Mp3MFneLLCVGW3O5kYMvm,4.1e-05,https://api.spotify.com/v1/audio-analysis/5Mp3MFneLLCVGW3O5kYMvm,0.439,278200,0.968,5Mp3MFneLLCVGW3O5kYMvm,0.0409,7,0.12,-4.551,1,0.0775,101.59,4,https://api.spotify.com/v1/tracks/5Mp3MFneLLCVGW3O5kYMvm,audio_features,spotify:track:5Mp3MFneLLCVGW3O5kYMvm,0.255,Kreator,False,Satan Is Real,Top Tracks in Metal,50,7,https://p.scdn.co/mp3-preview/2d95aa10e85283dd27d46b45eb86a0a641f41b66?cid=774b29d4f13844c495f206cafdad9c86,Kreator Satan Is Real,"Martyrs
You cannot kill us all
Vengeance will come as a shock
Destroy us
Let the clarion listen
Among the wolves
We'll eat the pack

There'll come a day
When no man shall survive
In this graveyard of desire
In due time you'll realize

Satan is real
Satan is real
Horror for tyranny
Human catastrophe
Satan is real
Satan is real

Open your eyes and you'll see
Satan is real

Indulger
Destruct for the weak
You will never wipe the dreams from our minds
Reverends
Your lies are obsolete
Now come along
Let the one-eyed lead the blind

There'll come a day
A brand new sun
Brighter than the one that we have seen
Embracing him
The bringer of sin

Satan is real
Satan is real
Curse of reality
Spiral of tragedy
Satan is real
Satan is real
Come crown the lord of the future

Satan is real
Satan is real
Horror for tyranny
Human catastrophe
Satan is real
Satan is real

Open your eyes and you'll see

Satan is real
Satan is real
Curse of reality
Spiral of tragedy
Satan is real
Satan is real
Can you resist the temptation
Satan is real"
2y5ZL8DvcXewQYfjVZOlT2,0.000209,https://api.spotify.com/v1/audio-analysis/2y5ZL8DvcXewQYfjVZOlT2,0.494,238493,0.973,2y5ZL8DvcXewQYfjVZOlT2,0.0276,10,0.357,-4.509,0,0.108,94.997,4,https://api.spotify.com/v1/tracks/2y5ZL8DvcXewQYfjVZOlT2,audio_features,spotify:track:2y5ZL8DvcXewQYfjVZOlT2,0.367,In Flames,False,The End,Top Tracks in Metal,44,8,,In Flames The End,"[Verse 1]
I got a new kind of fear
Something you don't want to view
There's this path that I can see
It leads straight to misery

We can't undo what we have done
Just face what's up ahead
We fight and we stumble
The fuse is lit, you better run now

[Pre-Chorus]
I can't tell you what to do
This crossroad is your own
But I know what we'll become
We'll be outlaws on the run

[Chorus]
Do you think about the end?
The words you say with your last breath
And the emptiness in space
Do you think about the end?
That slow last breath of air
The words you say with your last breath
And the emptiness in space

[Verse 2]
What if I say to you
Let’s leave this earth for a while
A perspective from the hollow
And the wheel we can’t control

[Pre-Chorus]
I can't tell you what to do
This crossroad is your own
But I know what we'll become
We'll be outlaws on the run

[Chorus]
Do you think about the end?
The words you say with your last breath
And the emptiness in space
Do you think about the end?
That slow last breath of air
The words you say with your last breath
And the emptiness in space

And the emptiness in space
And the emptiness in space

[Bridge]
When we were young
Was this the dream we had?
We are celebrating nothing
We need to find our way back

When we were young
Was this the dream we had?
We are celebrating nothing
We need to find our way back

When we were young
Was this the dream we had?
We are celebrating nothing
We need to find our way back

[Pre-Chorus]
I can't tell you what to do
This crossroad is your own
But I know what we'll become
We'll be outlaws on the run

[Chorus]
Do you think about the end?
The words you say with your last breath
And the emptiness in space
Do you think about the end?
That slow last breath of air
The words you say with your last breath
And the emptiness in space"
4luL1R4A2u0nesFPaJX0s8,0.00443,https://api.spotify.com/v1/audio-analysis/4luL1R4A2u0nesFPaJX0s8,0.511,238518,0.947,4luL1R4A2u0nesFPaJX0s8,0,7,0.117,-4.917,0,0.0457,104.046,4,https://api.spotify.com/v1/tracks/4luL1R4A2u0nesFPaJX0s8,audio_features,spotify:track:4luL1R4A2u0nesFPaJX0s8,0.494,Sabaton,False,The Last Stand,Top Tracks in Metal,54,9,,Sabaton The Last Stand,"[Verse]
In the heart of the Holy See
In the home of Christianity
The seat of power is in danger
There's a foe of a thousand swords
They've been abandoned by their lords
Their fall from grace will pave their path, to damnation

[Pre-Chorus]
Then the 189
In the service of Heaven
They're protecting the holy line
It was 1527, gave their lives on the steps to Heaven
Thy will be done!

[Chorus]
For the grace, for the might of our Lord
For the home of the holy
For the faith, for the way of the sword
Gave their lives so boldly

For the grace, for the might of our Lord
In the name of His glory
For the faith, for the way of the sword
Come and tell their story again

[Verse]
Under guard of 42
Along a secret avenue
Castel Sant'Angelo is waiting
They're the guard of the holy see
They're the guards of Christianity
Their path to history is paved with salvation

[Pre-Chorus]
Then the 189
In the service of Heaven
They're protecting the holy line
It was 1527, gave their lives on the steps to Heaven
Thy will be done!

[Chorus]
For the grace, for the might of our Lord
For the home of the holy
For the faith, for the way of the sword
Gave their lives so boldly

For the grace, for the might of our Lord
In the name of His glory
For the faith, for the way of the sword
Come and tell their story again

[Guitar Solo]

[Bridge]
Dying for salvation with dedication
No capitulation, annihilation
Papal commendation, reincarnation
Heaven is your destination

Dying for salvation with dedication
No capitulation, annihilation
Papal commendation, reincarnation
Heaven is your destination

In the name of God

[Chorus]
For the grace, for the might of our Lord
For the home of the holy
For the faith, for the way of the sword
Gave their lives so boldly

For the grace, for the might of our Lord
In the name of His glory
For the faith, for the way of the sword
Come and tell their story
Gave their lives so boldly
Come and tell the Swiss Guards' story again"
6JGQgMvOnsDbNOXpWvDwDM,8.4e-05,https://api.spotify.com/v1/audio-analysis/6JGQgMvOnsDbNOXpWvDwDM,0.469,253168,0.969,6JGQgMvOnsDbNOXpWvDwDM,1.03e-05,2,0.0387,-3.192,0,0.0514,89.984,4,https://api.spotify.com/v1/tracks/6JGQgMvOnsDbNOXpWvDwDM,audio_features,spotify:track:6JGQgMvOnsDbNOXpWvDwDM,0.142,Fit For An Autopsy,False,Heads Will Hang,Top Tracks in Metal,16,10,https://p.scdn.co/mp3-preview/d579aca6f0af8217e1d13e4b17124152034a64c6?cid=774b29d4f13844c495f206cafdad9c86,Fit For An Autopsy Heads Will Hang,"Death's breath on the back of our neck
The bitter taste of blood, flowing in floods
Consuming all the rations
Neglect is a crime of passion

I don't believe we've earned our keep
Or deserve this peace, self centered catastrophes
Armies of fools will fall
Nights of no end. Writing on the wall

War is now the will of your God
The prophets hands are stained
War is now the will of your God
Heads will hang
Heads will hang

All hail the antiheroes
Life reduced to ones and zeros
Expand and expire
Voices of reason retire
The threat is real
When you can feel the pain they feel
The writing’s on the wall

War is now the will of your God
The prophets hands are stained
War is now the will of your God
Heads will hang

Soul Seller
Fortune Teller
Plague Bearer

The fog won't lift
These comforts are counterfeit
The kings of shame stretch the divide

The pieces never fit
First world counterfeits
The great collapse now justified

Peace is merely a gift for the privileged
Safeguarded from the pain
This indifference is paid in blood
All hands are stained
The grip of oppression tightens the noose
But when they kick out the chair

Heads will hang
Heads will hang

War is now the will of your God
War is now the will of your God"
